Classes de places assises;Année;Fuel;Nb_véhicules
50 à 59 places;2014;Gaz naturel;118
60 places et plus;2014;Gaz naturel;158
Non déterminé;2014;Gaz naturel;53
Moins de 20 places;2015;Gaz naturel;7
20 à 29 places;2015;Gaz naturel;445
30 à 39 places;2015;Gaz naturel;385
40 à 49 places;2015;Gaz naturel;831
50 à 59 places;2015;Gaz naturel;118
60 places et plus;2015;Gaz naturel;185
Non déterminé;2015;Gaz naturel;53
Moins de 20 places;2016;Gaz naturel;7
20 à 29 places;2016;Gaz naturel;396
30 à 39 places;2016;Gaz naturel;386
40 à 49 places;2016;Gaz naturel;952
50 à 59 places;2016;Gaz naturel;149
60 places et plus;2016;Gaz naturel;216
Non déterminé;2016;Gaz naturel;53
Moins de 20 places;2017;Gaz naturel;6
20 à 29 places;2017;Gaz naturel;346
30 à 39 places;2017;Gaz naturel;382
40 à 49 places;2017;Gaz naturel;1069
50 à 59 places;2017;Gaz naturel;167
60 places et plus;2017;Gaz naturel;234
Non déterminé;2017;Gaz naturel;53
Moins de 20 places;2018;Gaz naturel;6
20 à 29 places;2018;Gaz naturel;262
30 à 39 places;2018;Gaz naturel;365
40 à 49 places;2018;Gaz naturel;1178
50 à 59 places;2018;Gaz naturel;304
60 places et plus;2018;Gaz naturel;262
Non déterminé;2018;Gaz naturel;53
Moins de 20 places;2019;Gaz naturel;6
20 à 29 places;2019;Gaz naturel;226
30 à 39 places;2019;Gaz naturel;298
40 à 49 places;2019;Gaz naturel;1340
50 à 59 places;2019;Gaz naturel;376
60 places et plus;2019;Gaz naturel;313
Non déterminé;2019;Gaz naturel;53
Moins de 20 places;2010;Gazole-électricité;0
20 à 29 places;2010;Gazole-électricité;28
30 à 39 places;2010;Gazole-électricité;9
40 à 49 places;2010;Gazole-électricité;0
50 à 59 places;2010;Gazole-électricité;0
60 places et plus;2010;Gazole-électricité;0
Non déterminé;2010;Gazole-électricité;0
Moins de 20 places;2011;Gazole-électricité;0
20 à 29 places;2011;Gazole-électricité;28
30 à 39 places;2011;Gazole-électricité;21
40 à 49 places;2011;Gazole-électricité;2
50 à 59 places;2011;Gazole-électricité;0
60 places et plus;2011;Gazole-électricité;0
Non déterminé;2011;Gazole-électricité;0
Moins de 20 places;2012;Gazole-électricité;0
20 à 29 places;2012;Gazole-électricité;26
30 à 39 places;2012;Gazole-électricité;21
40 à 49 places;2012;Gazole-électricité;3
50 à 59 places;2012;Gazole-électricité;0
60 places et plus;2012;Gazole-électricité;0
Non déterminé;2012;Gazole-électricité;0
Moins de 20 places;2013;Gazole-électricité;0
20 à 29 places;2013;Gazole-électricité;26
30 à 39 places;2013;Gazole-électricité;21
40 à 49 places;2013;Gazole-électricité;3
50 à 59 places;2013;Gazole-électricité;0
60 places et plus;2013;Gazole-électricité;0
Non déterminé;2013;Gazole-électricité;0
Moins de 20 places;2014;Gazole-électricité;1
20 à 29 places;2014;Gazole-électricité;26
30 à 39 places;2014;Gazole-électricité;136
40 à 49 places;2014;Gazole-électricité;62
50 à 59 places;2014;Gazole-électricité;79
60 places et plus;2014;Gazole-électricité;0
Non déterminé;2014;Gazole-électricité;0
Moins de 20 places;2015;Gazole-électricité;2
20 à 29 places;2015;Gazole-électricité;26
30 à 39 places;2015;Gazole-électricité;138
40 à 49 places;2015;Gazole-électricité;89
50 à 59 places;2015;Gazole-électricité;79
60 places et plus;2015;Gazole-électricité;0
Non déterminé;2015;Gazole-électricité;0
Moins de 20 places;2016;Gazole-électricité;5
20 à 29 places;2016;Gazole-électricité;27
30 à 39 places;2016;Gazole-électricité;249
40 à 49 places;2016;Gazole-électricité;317
50 à 59 places;2016;Gazole-électricité;149
60 places et plus;2016;Gazole-électricité;2
Non déterminé;2016;Gazole-électricité;0
Moins de 20 places;2017;Gazole-électricité;5
20 à 29 places;2017;Gazole-électricité;27
30 à 39 places;2017;Gazole-électricité;326
40 à 49 places;2017;Gazole-électricité;658
50 à 59 places;2017;Gazole-électricité;247
60 places et plus;2017;Gazole-électricité;4
Non déterminé;2017;Gazole-électricité;0
Moins de 20 places;2018;Gazole-électricité;5
20 à 29 places;2018;Gazole-électricité;14
30 à 39 places;2018;Gazole-électricité;385
40 à 49 places;2018;Gazole-électricité;776
50 à 59 places;2018;Gazole-électricité;290
60 places et plus;2018;Gazole-électricité;5
Non déterminé;2018;Gazole-électricité;0
Moins de 20 places;2019;Gazole-électricité;7
20 à 29 places;2019;Gazole-électricité;23
30 à 39 places;2019;Gazole-électricité;387
40 à 49 places;2019;Gazole-électricité;951
50 à 59 places;2019;Gazole-électricité;379
60 places et plus;2019;Gazole-électricité;7
Non déterminé;2019;Gazole-électricité;0
Moins de 20 places;2010;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2010;Autres hydrocarbures gazeux comprimés;291
30 à 39 places;2010;Autres hydrocarbures gazeux comprimés;381
40 à 49 places;2010;Autres hydrocarbures gazeux comprimés;842
50 à 59 places;2010;Autres hydrocarbures gazeux comprimés;10
60 places et plus;2010;Autres hydrocarbures gazeux comprimés;93
Non déterminé;2010;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2011;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2011;Autres hydrocarbures gazeux comprimés;254
30 à 39 places;2011;Autres hydrocarbures gazeux comprimés;374
40 à 49 places;2011;Autres hydrocarbures gazeux comprimés;810
50 à 59 places;2011;Autres hydrocarbures gazeux comprimés;1
60 places et plus;2011;Autres hydrocarbures gazeux comprimés;92
Non déterminé;2011;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2012;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2012;Autres hydrocarbures gazeux comprimés;233
30 à 39 places;2012;Autres hydrocarbures gazeux comprimés;362
40 à 49 places;2012;Autres hydrocarbures gazeux comprimés;707
50 à 59 places;2012;Autres hydrocarbures gazeux comprimés;1
60 places et plus;2012;Autres hydrocarbures gazeux comprimés;84
Non déterminé;2012;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2013;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2013;Autres hydrocarbures gazeux comprimés;186
30 à 39 places;2013;Autres hydrocarbures gazeux comprimés;345
40 à 49 places;2013;Autres hydrocarbures gazeux comprimés;540
50 à 59 places;2013;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2013;Autres hydrocarbures gazeux comprimés;67
Non déterminé;2013;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2014;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2014;Autres hydrocarbures gazeux comprimés;133
30 à 39 places;2014;Autres hydrocarbures gazeux comprimés;243
40 à 49 places;2014;Autres hydrocarbures gazeux comprimés;453
50 à 59 places;2014;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2014;Autres hydrocarbures gazeux comprimés;62
Non déterminé;2014;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2015;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2015;Autres hydrocarbures gazeux comprimés;86
30 à 39 places;2015;Autres hydrocarbures gazeux comprimés;168
40 à 49 places;2015;Autres hydrocarbures gazeux comprimés;400
50 à 59 places;2015;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2015;Autres hydrocarbures gazeux comprimés;36
Non déterminé;2015;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2016;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2016;Autres hydrocarbures gazeux comprimés;72
30 à 39 places;2016;Autres hydrocarbures gazeux comprimés;163
40 à 49 places;2016;Autres hydrocarbures gazeux comprimés;375
50 à 59 places;2016;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2016;Autres hydrocarbures gazeux comprimés;22
Non déterminé;2016;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2017;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2017;Autres hydrocarbures gazeux comprimés;57
30 à 39 places;2017;Autres hydrocarbures gazeux comprimés;143
40 à 49 places;2017;Autres hydrocarbures gazeux comprimés;297
50 à 59 places;2017;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2017;Autres hydrocarbures gazeux comprimés;21
Non déterminé;2017;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2018;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2018;Autres hydrocarbures gazeux comprimés;38
30 à 39 places;2018;Autres hydrocarbures gazeux comprimés;115
40 à 49 places;2018;Autres hydrocarbures gazeux comprimés;230
50 à 59 places;2018;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2018;Autres hydrocarbures gazeux comprimés;17
Non déterminé;2018;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2019;Autres hydrocarbures gazeux comprimés;0
20 à 29 places;2019;Autres hydrocarbures gazeux comprimés;21
30 à 39 places;2019;Autres hydrocarbures gazeux comprimés;93
40 à 49 places;2019;Autres hydrocarbures gazeux comprimés;177
50 à 59 places;2019;Autres hydrocarbures gazeux comprimés;0
60 places et plus;2019;Autres hydrocarbures gazeux comprimés;17
Non déterminé;2019;Autres hydrocarbures gazeux comprimés;0
Moins de 20 places;2010;Electricité;108
20 à 29 places;2010;Electricité;6
30 à 39 places;2010;Electricité;0
40 à 49 places;2010;Electricité;50
50 à 59 places;2010;Electricité;0
60 places et plus;2010;Electricité;0
Non déterminé;2010;Electricité;0
Moins de 20 places;2011;Electricité;117
20 à 29 places;2011;Electricité;11
30 à 39 places;2011;Electricité;12
40 à 49 places;2011;Electricité;50
50 à 59 places;2011;Electricité;0
60 places et plus;2011;Electricité;0
Non déterminé;2011;Electricité;0
Moins de 20 places;2012;Electricité;134
20 à 29 places;2012;Electricité;15
30 à 39 places;2012;Electricité;13
40 à 49 places;2012;Electricité;49
50 à 59 places;2012;Electricité;0
60 places et plus;2012;Electricité;0
Non déterminé;2012;Electricité;0
Moins de 20 places;2013;Electricité;157
20 à 29 places;2013;Electricité;20
30 à 39 places;2013;Electricité;13
40 à 49 places;2013;Electricité;49
50 à 59 places;2013;Electricité;0
60 places et plus;2013;Electricité;0
Non déterminé;2013;Electricité;0
Moins de 20 places;2014;Electricité;178
20 à 29 places;2014;Electricité;23
30 à 39 places;2014;Electricité;13
40 à 49 places;2014;Electricité;49
50 à 59 places;2014;Electricité;0
60 places et plus;2014;Electricité;0
Non déterminé;2014;Electricité;0
Moins de 20 places;2015;Electricité;215
20 à 29 places;2015;Electricité;27
30 à 39 places;2015;Electricité;13
40 à 49 places;2015;Electricité;49
50 à 59 places;2015;Electricité;0
60 places et plus;2015;Electricité;0
Non déterminé;2015;Electricité;0
Moins de 20 places;2016;Electricité;248
20 à 29 places;2016;Electricité;41
30 à 39 places;2016;Electricité;16
40 à 49 places;2016;Electricité;49
50 à 59 places;2016;Electricité;0
60 places et plus;2016;Electricité;0
Non déterminé;2016;Electricité;0
Moins de 20 places;2017;Electricité;275
20 à 29 places;2017;Electricité;74
30 à 39 places;2017;Electricité;16
40 à 49 places;2017;Electricité;50
50 à 59 places;2017;Electricité;0
60 places et plus;2017;Electricité;0
Non déterminé;2017;Electricité;0
Moins de 20 places;2018;Electricité;275
20 à 29 places;2018;Electricité;124
30 à 39 places;2018;Electricité;19
40 à 49 places;2018;Electricité;37
50 à 59 places;2018;Electricité;0
60 places et plus;2018;Electricité;22
Non déterminé;2018;Electricité;0
Moins de 20 places;2019;Electricité;284
20 à 29 places;2019;Electricité;157
30 à 39 places;2019;Electricité;33
40 à 49 places;2019;Electricité;26
50 à 59 places;2019;Electricité;0
60 places et plus;2019;Electricité;46
Non déterminé;2019;Electricité;0
Moins de 20 places;2010;Autres énergies;107
20 à 29 places;2010;Autres énergies;106
30 à 39 places;2010;Autres énergies;104
40 à 49 places;2010;Autres énergies;68
50 à 59 places;2010;Autres énergies;41
60 places et plus;2010;Autres énergies;7
Non déterminé;2010;Autres énergies;7
Moins de 20 places;2011;Autres énergies;94
20 à 29 places;2011;Autres énergies;101
30 à 39 places;2011;Autres énergies;118
40 à 49 places;2011;Autres énergies;68
50 à 59 places;2011;Autres énergies;28
60 places et plus;2011;Autres énergies;43
Non déterminé;2011;Autres énergies;12
Moins de 20 places;2012;Autres énergies;80
20 à 29 places;2012;Autres énergies;88
30 à 39 places;2012;Autres énergies;106
40 à 49 places;2012;Autres énergies;63
50 à 59 places;2012;Autres énergies;17
60 places et plus;2012;Autres énergies;46
Non déterminé;2012;Autres énergies;16
Moins de 20 places;2013;Autres énergies;76
20 à 29 places;2013;Autres énergies;69
30 à 39 places;2013;Autres énergies;97
40 à 49 places;2013;Autres énergies;58
50 à 59 places;2013;Autres énergies;8
60 places et plus;2013;Autres énergies;46
Non déterminé;2013;Autres énergies;18
Moins de 20 places;2014;Autres énergies;72
20 à 29 places;2014;Autres énergies;67
30 à 39 places;2014;Autres énergies;93
40 à 49 places;2014;Autres énergies;55
50 à 59 places;2014;Autres énergies;7
60 places et plus;2014;Autres énergies;47
Non déterminé;2014;Autres énergies;16
Moins de 20 places;2015;Autres énergies;65
20 à 29 places;2015;Autres énergies;63
30 à 39 places;2015;Autres énergies;89
40 à 49 places;2015;Autres énergies;55
50 à 59 places;2015;Autres énergies;7
60 places et plus;2015;Autres énergies;47
Non déterminé;2015;Autres énergies;15
Moins de 20 places;2016;Autres énergies;52
20 à 29 places;2016;Autres énergies;62
30 à 39 places;2016;Autres énergies;84
40 à 49 places;2016;Autres énergies;54
50 à 59 places;2016;Autres énergies;7
60 places et plus;2016;Autres énergies;46
Non déterminé;2016;Autres énergies;15
Moins de 20 places;2017;Autres énergies;49
20 à 29 places;2017;Autres énergies;46
30 à 39 places;2017;Autres énergies;77
40 à 49 places;2017;Autres énergies;16
50 à 59 places;2017;Autres énergies;5
60 places et plus;2017;Autres énergies;44
Non déterminé;2017;Autres énergies;15
Moins de 20 places;2018;Autres énergies;46
20 à 29 places;2018;Autres énergies;46
30 à 39 places;2018;Autres énergies;56
40 à 49 places;2018;Autres énergies;14
50 à 59 places;2018;Autres énergies;5
60 places et plus;2018;Autres énergies;44
Non déterminé;2018;Autres énergies;14
Moins de 20 places;2019;Autres énergies;28
20 à 29 places;2019;Autres énergies;40
30 à 39 places;2019;Autres énergies;51
40 à 49 places;2019;Autres énergies;1
50 à 59 places;2019;Autres énergies;5
60 places et plus;2019;Autres énergies;41
Non déterminé;2019;Autres énergies;14
